Metric,Gazebo,Webots,Bullet / PyBullet,CoppeliaSim (V-REP),MuJoCo,ODE (Open Dynamics Engine),ROS 2 ,OpenRAVE,PhysX (open-source SDK),AirSim,Drake,DART,CARLA,MORSE,Simbody,OMPL (Open Motion Planning Library),Pinocchio,OROCOS,SOFA,MoveIt!,GraspIt!,Habitat,Project Chrono,Flightmare,MRPT,Newton Dynamics,YARP,OpenRTM-aist
"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git,git (GitHub Issues),git,git (GitHub Issues) and discussion board (official forum),git (GitHub Issues),BitBucket (issue tracker on bitbucket.org/odedevs/ode),git (GitHub Issues across ros2 organization repositories),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues — now archived and read-only),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues — no longer monitored),git (GitHub Issues) and SimTK.org tracker,git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues and historical orocos.org tracker),git (GitHub Issues),git (GitHub Issues and GitHub Projects),git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues),git (GitHub Issues and GitHub Discussions),git (GitHub Issues),git (GitHub Issues; previously SourceForge and AIST Trac)
What is the percentage of identified issues that are closed? (percentage),,,,,,,,,,,,,,,,,,,,,,,,,,,,
What percentage of code is comments? (percentage),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github,Github,git,Github,Github,other and github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github,Github
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many code files are there? ( (0-9=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is API documented? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consistent indentation and formatting style? (yes, no, n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Explicit identification of a coding standard? (yes∗, no, n/a)",yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes
"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",yes,yes (some magic constants appear in sampled source files),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Parameters are in the same order for all functions? (yes, no∗ , n/a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is code modularized? (yes, no∗ , n/a)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Overall impression? (1 .. 10),10,7,7,7,8,7,8,8,8,7,8,7,7,6,7,9,8,6,7,8,5,8,7,6,8,6,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)",yes,"yes (GitHub workflow with pull requests, code review, CI/CD)",yes,yes,yes,yes,yes,"yes,git ci",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are there any documents recording the development process and status? (yes∗, no))",yes,"yes (GitHub Issues, pull requests, release notes)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Is the development environment documented? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
"Are there release notes? (yes∗, no)",yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes
Overall impression? (1 .. 10),10,8,7,7,8,7,9,7,8,7,9,7,8,5,7,9,8,6,7,9,5,8,8,5,8,5,8,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of binary files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of total lines in text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of total lines added to text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of total lines deleted from text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of total commits. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers of commits by month in the last 12 months. (list of numbers),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of total lines in text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of code lines in text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of comment lines in text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of blank lines in text-based files. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of stars. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of forks. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of people watching this repo. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of open pull requests. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of closed pull requests. (number),,,,,,,,,,,,,,,,,,,,,,,,,,,,
